INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_1024_0.txt, 1024, 1, 64, 1, 13893.935547, 5002.093262, 4482.092285, 194.763992, 4409.750000, 4214.986008, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 64, 1, 13025.012451, 4357.868164, 4590.931152, 406.686798, 4076.213135, 3669.526337, 1.041426, 1.147830, 0.976293, 0.478904, 1.081825, 1.148646
matrix_1024_0.txt, 1024, 4, 64, 1, 14501.458008, 4848.465820, 5072.747070, 530.031677, 4580.245117, 4050.213440, 0.950097, 1.031686, 0.883563, 0.367457, 0.962776, 1.040682
matrix_1024_0.txt, 1024, 8, 64, 1, 11250.321289, 3793.438965, 3785.201172, 901.968201, 3671.681152, 2769.712952, 1.298820, 1.318617, 1.184109, 0.215932, 1.201017, 1.521813
matrix_2048_0.txt, 2048, 1, 64, 1, 105365.398438, 36553.953125, 34548.945312, 821.884521, 34262.500000, 33440.615479, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 1, 128, 1, 33.720995, 17.286913, 8.903061, 0.823705, 7.531022, 6.707317, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 1, 128, 1, 221.409466, 101.211113, 62.449234, 4.064836, 57.749119, 53.684283, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 128, 1, 179.074619, 71.173813, 56.346893, 19.578016, 51.553913, 31.975897, 1.394175, 1.422026, 1.108295, 0.207631, 1.120167, 1.678890
matrix_512_0.txt, 512, 1, 128, 1, 1868.985535, 725.249817, 580.778809, 37.528503, 562.956909, 525.428406, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 16, 64, 1, 10303.118164, 3445.528076, 3475.761963, 996.396912, 3381.828125, 2385.431213, 1.433674, 1.451764, 1.289528, 0.195468, 1.303954, 1.766970
matrix_1024_0.txt, 1024, 1, 128, 1, 13941.988770, 5010.815918, 4502.151855, 189.873398, 4429.020996, 4239.147598, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 128, 1, 12656.103027, 4366.938965, 4198.245117, 410.878174, 4090.918945, 3680.040771, 1.136264, 1.147444, 1.072389, 0.462115, 1.082647, 1.151930
matrix_1024_0.txt, 1024, 4, 128, 1, 14131.275879, 4857.755859, 4680.080078, 494.442749, 4593.439941, 4098.997192, 1.028224, 1.031508, 0.961982, 0.384014, 0.964206, 1.034191
matrix_2048_0.txt, 2048, 1, 128, 1, 103842.949219, 36123.355469, 34003.671875, 802.403320, 33715.921875, 32913.518555, 1.0, 1.0, 1.0, 1.0
matrix_2048_0.txt, 2048, 2, 128, 1, 95373.958984, 32358.332031, 31775.048828, 1500.656860, 31240.578125, 29739.921265, 1.106963, 1.116354, 1.070138, 0.534701, 1.079235, 1.106712
matrix_128_0.txt, 128, 1, 1, 0, 36.710829, 20.101912, 9.009002, 0.799596, 7.599916, 6.800320, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 1, 0, 122.181787, 53.516006, 54.926857, 9.151033, 13.738924, 4.587891, 0.227139, 0.375626, 0.164018, 0.087422, 0.553173, 1.482163
matrix_128_0.txt, 128, 4, 1, 0, 260.004627, 72.820831, 155.007874, 17.925535, 32.175922, 14.250387, 0.109945, 0.276047, 0.058120, 0.044629, 0.236201, 0.477180
matrix_1024_0.txt, 1024, 8, 128, 1, 11099.651367, 3763.433105, 3707.412109, 824.707947, 3628.806152, 2804.098206, 1.323242, 1.331448, 1.214365, 0.230231, 1.220517, 1.511769
matrix_128_0.txt, 128, 8, 1, 0, 634.296898, 144.212906, 386.154022, 35.651588, 103.929970, 68.278381, 0.050444, 0.139391, 0.023330, 0.022439, 0.073126, 0.099592
matrix_256_0.txt, 256, 1, 1, 0, 223.619728, 103.432983, 62.488838, 4.098725, 57.697906, 53.599182, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 1, 0, 268.452469, 102.793793, 104.335793, 39.691334, 61.322884, 21.631550, 0.742243, 1.006218, 0.598922, 0.103272, 0.940889, 2.477816
matrix_256_0.txt, 256, 4, 1, 0, 412.831192, 123.707062, 206.715118, 52.041107, 82.409012, 30.367905, 0.436364, 0.836112, 0.302295, 0.078765, 0.700142, 1.764988
matrix_256_0.txt, 256, 8, 1, 0, 874.138687, 225.950836, 465.184937, 74.957542, 183.002914, 108.045372, 0.212984, 0.457768, 0.134332, 0.054684, 0.315285, 0.496079
matrix_512_0.txt, 512, 1, 1, 0, 1872.650940, 724.132080, 583.040894, 39.121536, 565.477966, 526.356430, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 1, 1, 0, 13965.155273, 5029.107910, 4502.950195, 190.430710, 4433.097168, 4242.666458, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 1, 0, 13192.602539, 4772.088867, 4248.650879, 2420.664307, 4171.862793, 1751.198486, 1.051576, 1.053859, 1.059854, 0.078669, 1.062618, 2.422721
matrix_1024_0.txt, 1024, 4, 1, 0, 14054.551758, 5073.639160, 4564.024414, 3169.702637, 4416.888184, 1247.185547, 0.976667, 0.991223, 0.986618, 0.060079, 1.003670, 3.401792
matrix_128_0.txt, 128, 16, 1, 0, 1195.598785, 223.450897, 787.788879, 58.803612, 184.359009, 125.555397, 0.026015, 0.089962, 0.011436, 0.013605, 0.041224, 0.054159
matrix_256_0.txt, 256, 16, 1, 0, 1748.126007, 411.341949, 970.761047, 106.736198, 366.023010, 259.286812, 0.106511, 0.251453, 0.064371, 0.038403, 0.157635, 0.206717
matrix_1024_0.txt, 1024, 8, 1, 0, 14148.618164, 5038.286133, 4707.142090, 2771.837891, 4403.189941, 1631.352051, 0.954462, 0.998178, 0.956621, 0.068702, 1.006792, 2.600705
matrix_2048_0.txt, 2048, 1, 1, 0, 103670.832031, 36141.921875, 33902.535156, 809.084534, 33626.375000, 32817.290466, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 1, 2, 0, 61.091770, 44.682884, 8.889917, 0.833112, 7.518969, 6.685857, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 2, 0, 209.226177, 56.128986, 137.487091, 9.306095, 15.610100, 6.304005, 0.258722, 0.796077, 0.064661, 0.089511, 0.481675, 1.060596
